token,rating-human,specificity1,specificity2,specificity3
service,2.21,2.8271945532106395,2.8009609809283624,2.0
retina,4.46,3.1893287943421993,3.1991642791754358,2.142857142857143
tequila,4.77,4.094664397171099,3.8960045096170033,3.5714285714285716
middleman,2.79,3.4609294751908695,3.4455546967631263,2.7142857142857144
job,3.19,2.2704360516428572,2.19371583824055,1.8571428571428572
trainload,4.18,2.9177281134935296,2.8997040887159753,1.7142857142857144
druggist,4.19,3.3703959149079794,3.3468115889755135,2.571428571428571
imprint,3.96,3.0987952340593092,3.097190304291201,2.0
shipbuilder,4.62,3.5514630354737595,3.5442978045507396,2.7142857142857144
baldness,3.96,2.8271945532106395,2.8009609809283624,1.8571428571428572
conjunction,2.15,2.979116377190034,2.9666590159302646,2.142857142857143
coldness,3.33,3.2798623546250893,3.2946765198664267,2.2857142857142856
advisee,3.77,3.1893287943421993,3.1493253734002877,2.142857142857143
gauge,4.0,2.9177281134935296,2.902934955812597,2.2857142857142856
sailor,4.86,2.960861745862012,2.9001410231646307,2.428571428571429
brawler,4.04,3.2798623546250893,3.2480684811879006,2.2857142857142856
housemaster,3.54,3.641996595756649,3.6430409123383525,2.857142857142857
warp,3.07,3.1893287943421993,3.195933412078814,2.142857142857143
cataclysm,2.57,2.9177281134935296,2.902934955812597,1.8571428571428572
ringside,3.72,3.008261673776419,2.998447196503588,1.8571428571428572
wonderfulness,1.59,2.9177281134935296,2.8997040887159753,1.7142857142857144
mocha,4.74,3.5514630354737595,3.6840836730299564,2.7142857142857144
sordidness,1.6,3.0987952340593092,3.097190304291201,2.0
greenback,4.05,2.888582816907144,2.8679159081426517,2.142857142857143
eyes,4.85,3.0987952340593092,3.097190304291201,2.0
swinger,3.29,3.3703959149079794,3.3468115889755135,2.428571428571429
machination,2.0,3.2798623546250893,3.2946765198664267,2.428571428571429
invention,3.48,2.8647693756641224,2.841943073455555,1.8571428571428572
musicianship,2.07,3.0987952340593092,3.097190304291201,2.0
cornerstone,4.04,3.1893287943421993,3.195933412078814,2.2857142857142856
entrepreneur,3.07,3.3703959149079794,3.3468115889755135,2.428571428571429
sultan,4.31,3.2798623546250893,3.2480684811879006,2.2857142857142856
inning,3.25,3.1893287943421993,3.195933412078814,2.142857142857143
germination,3.42,2.9177281134935296,2.902934955812597,1.7142857142857144
interchangeability,2.1,2.6461274326448594,2.6034747653531367,1.7142857142857144
grandparent,4.03,3.2798623546250893,3.2480684811879006,2.571428571428571
presumptuousness,1.56,3.0987952340593092,3.097190304291201,2.142857142857143
drape,4.5,3.0987952340593092,3.100421171387823,2.428571428571429
horseplay,3.84,3.1893287943421993,3.195933412078814,2.142857142857143
thud,3.2,3.008261673776419,2.998447196503588,1.8571428571428572
heartland,2.31,2.9177281134935296,2.902934955812597,1.7142857142857144
alimony,3.08,3.2798623546250893,3.2946765198664267,2.2857142857142856
harmonics,2.63,3.4609294751908695,3.4921627354416525,2.571428571428571
affability,1.54,2.9177281134935296,2.8997040887159753,2.0
nape,4.44,3.3703959149079794,3.396650494750662,2.428571428571429
simplification,1.86,2.9177281134935296,2.8997040887159753,1.8571428571428572
credit,2.71,2.6837022550983427,2.644456857880329,1.7142857142857144
industry,3.29,2.620288953655206,2.575293263293198,2.0
tad,2.09,2.9177281134935296,2.8997040887159753,1.7142857142857144
limo,4.7,3.5514630354737595,3.5941367103258877,2.857142857142857
downpour,3.71,3.3703959149079794,3.396650494750662,2.428571428571429
leaseholder,4.33,3.641996595756649,3.6430409123383525,2.857142857142857
furtherance,1.68,3.008261673776419,2.998447196503588,1.8571428571428572
fuel,4.3,2.3215680139667825,2.2527152938264994,1.5714285714285714
winker,3.92,3.1893287943421993,3.1493253734002877,2.142857142857143
uppers,2.68,3.4609294751908695,3.495393602538275,2.571428571428571
package,4.72,2.7366609929277494,2.7022178731407496,1.5714285714285714
sensationalist,2.41,3.3703959149079794,3.3468115889755135,2.428571428571429
glamour,2.11,3.008261673776419,2.998447196503588,1.8571428571428572
bucketful,4.45,2.9177281134935296,2.8997040887159753,1.7142857142857144
wrist,4.93,3.1893287943421993,3.1991642791754358,2.142857142857143
forklift,4.79,3.4609294751908695,3.495393602538275,2.571428571428571
refill,3.4,3.2798623546250893,3.0422814988535802,2.2857142857142856
ban,2.37,3.025702518549681,3.0174695701996073,2.2857142857142856
hornpipe,4.31,3.9135972766053198,3.6594798996230997,3.2857142857142856
limp,4.15,3.4609294751908695,3.4921627354416525,2.571428571428571
