Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
annihilation,2.69,2.428571428571429,1.5682,12,0.041,0.8,0.591
anniversary,3.15,2.0,2.6561,11,0.88,0.77,0.723
announcement,2.79,1.7142857142857144,2.6444,12,0.729,0.491,0.482
announcer,4.52,2.2857142857142856,2.3054,9,0.602,0.57,0.732
annoyance,2.14,1.8571428571428572,1.3979,9,0.167,0.718,0.342
annuity,2.64,2.2857142857142856,1.2304,7,0.521,0.304,0.527
annulment,2.25,1.5714285714285714,1.4624,9,0.153,0.375,0.447
anomaly,1.79,2.0,1.7559,7,0.188,0.538,0.404
anonymity,1.88,2.0,1.6335,9,0.469,0.255,0.43
ant,4.86,2.571428571428571,2.0492,3,0.448,0.216,0.216
antagonism,2.33,1.5714285714285714,1.0792,10,0.224,0.618,0.524
antagonist,2.75,2.142857142857143,1.1139,10,0.24,0.615,0.7
antelope,5.0,3.142857142857143,1.5315,8,0.542,0.51,0.5
antenna,4.75,2.142857142857143,1.9138,7,0.521,0.327,0.358
anthem,3.36,2.0,1.8633,6,0.78,0.343,0.729
anthill,4.89,2.0,1.3424,7,0.327,0.578,0.377
anthology,3.07,2.428571428571429,1.0414,9,0.338,0.406,0.537
anthrax,4.44,2.7142857142857144,1.5315,7,0.188,0.73,0.5
anthropologist,4.0,2.428571428571429,1.6335,14,0.551,0.385,0.725
anthropology,2.41,2.2857142857142856,1.7076,12,0.49,0.367,0.582
antiaircraft,3.48,2.428571428571429,1.1761,12,0.33,0.622,0.629
antibiotic,4.43,2.2857142857142856,1.4771,10,0.51,0.373,0.658
antibiotics,4.45,2.2857142857142856,2.1492,11,0.448,0.406,0.557
antichrist,2.93,2.142857142857143,1.4624,10,0.082,0.837,0.544
anticipation,1.93,1.8571428571428572,2.0682,12,0.698,0.539,0.711
antics,2.6,2.0,1.6812,6,0.448,0.74,0.236
antidote,3.42,2.2857142857142856,1.9191,8,0.541,0.49,0.629
antipathy,1.55,1.8571428571428572,0.699,9,0.198,0.549,0.393
antiques,4.22,2.857142857142857,1.9685,8,0.54,0.37,0.595
antiquity,2.13,2.0,1.1461,9,0.385,0.333,0.556
antithesis,2.27,1.5714285714285714,1.1139,10,0.396,0.412,0.536
antler,4.86,2.0,1.1461,6,0.448,0.47,0.5
anus,4.86,2.142857142857143,1.6232,4,0.347,0.644,0.35
anvil,4.96,1.8571428571428572,1.3979,5,0.38,0.51,0.604
anxiety,2.21,1.8571428571428572,2.4249,7,0.146,0.865,0.342
aorta,4.61,2.428571428571429,1.7076,5,0.448,0.51,0.542
apartment,4.9,2.0,3.2492,9,0.719,0.393,0.58
apartments,4.71,2.0,2.2227,10,0.704,0.337,0.443
apathy,2.04,1.7142857142857144,1.3617,6,0.184,0.212,0.204
ape,4.79,2.7142857142857144,2.2405,3,0.548,0.389,0.336
apex,3.41,2.0,1.301,4,0.57,0.433,0.418
aphid,4.76,2.7142857142857144,0.6021,5,0.388,0.473,0.407
aphrodisiac,3.19,2.142857142857143,1.6902,11,0.75,0.846,0.667
apocalypse,2.21,2.142857142857143,1.9638,10,0.05,0.867,0.736
apologist,2.97,2.2857142857142856,0.301,9,0.406,0.429,0.526
apology,2.86,1.7142857142857144,2.8041,7,0.571,0.346,0.402
apostle,3.22,2.571428571428571,1.4624,7,0.646,0.347,0.732
apostrophe,3.88,1.8571428571428572,1.0414,10,0.469,0.368,0.537
apothecary,3.76,2.571428571428571,1.0,10,0.561,0.328,0.529
apparatus,3.78,2.0,1.8062,9,0.375,0.353,0.377
apparel,4.6,2.2857142857142856,1.5185,7,0.698,0.435,0.453
apparition,2.46,2.142857142857143,1.4771,10,0.406,0.573,0.636
appeal,1.73,2.0,2.6875,6,0.663,0.598,0.558
appearance,2.57,1.5714285714285714,2.6981,10,0.669,0.49,0.534
appendage,4.26,1.8571428571428572,1.2553,9,0.229,0.382,0.438
appendectomy,4.42,2.428571428571429,1.4624,12,0.177,0.67,0.554
appendicitis,3.48,2.142857142857143,1.5185,12,0.031,0.64,0.347
appendix,4.25,2.0,1.9494,8,0.365,0.387,0.425
appetite,2.74,2.0,2.5911,8,0.704,0.637,0.581
appetizer,4.71,2.0,1.7709,9,0.755,0.56,0.406
applause,4.29,1.7142857142857144,2.5599,8,0.953,0.857,0.621
apple,5.0,3.142857142857143,2.8388,5,0.811,0.3,0.264
applesauce,4.96,2.0,1.415,10,0.75,0.167,0.291
appliance,4.57,2.0,1.5441,9,0.582,0.453,0.538
applicability,1.69,1.7142857142857144,0.4771,13,0.677,0.49,0.741
applicant,4.0,2.142857142857143,1.3979,9,0.612,0.558,0.688
application,3.4,2.0,2.5502,11,0.646,0.445,0.726
appointment,3.0,2.142857142857143,3.0249,11,0.688,0.594,0.547
appraisal,3.11,2.0,1.4771,9,0.417,0.667,0.682
appreciation,1.63,2.142857142857143,2.3784,12,0.917,0.529,0.588
apprehension,1.68,2.0,1.5911,12,0.385,0.72,0.454
apprentice,3.67,2.428571428571429,1.8129,10,0.615,0.413,0.452
apprenticeship,2.7,2.142857142857143,0.9031,14,0.812,0.482,0.643
approach,2.74,2.2857142857142856,2.9058,8,0.612,0.392,0.61
appropriation,1.96,2.0,0.7782,13,0.51,0.632,0.717
approval,2.33,2.142857142857143,2.5237,8,0.854,0.46,0.889
approximation,1.85,2.2857142857142856,0.6021,13,0.582,0.402,0.593
apricot,4.97,2.7142857142857144,1.4314,7,0.708,0.32,0.278
apron,4.87,2.428571428571429,2.0334,5,0.582,0.208,0.245
aptitude,1.54,1.7142857142857144,1.6232,8,0.75,0.471,0.746
aquarium,4.77,2.857142857142857,1.9345,8,0.663,0.327,0.393
aqueduct,4.62,2.142857142857143,1.0792,8,0.551,0.411,0.534
arbitration,2.0,2.142857142857143,1.0792,11,0.587,0.602,0.67
arbitrator,3.2,2.571428571428571,0.699,10,0.385,0.448,0.795
arcade,4.74,2.142857142857143,1.8573,6,0.676,0.521,0.502
arch,4.59,1.8571428571428572,2.0719,4,0.5,0.354,0.468
archaeologist,4.45,2.571428571428571,1.5185,13,0.552,0.451,0.706
archaeology,3.08,2.428571428571429,1.3617,11,0.596,0.358,0.691
archangel,2.93,2.142857142857143,1.2553,9,0.837,0.5,0.708
archbishop,4.14,3.5714285714285716,1.5911,10,0.622,0.28,0.776
archduke,3.93,2.571428571428571,1.1139,8,0.458,0.413,0.634
archery,3.93,2.142857142857143,1.3617,7,0.594,0.604,0.589
archipelago,3.96,1.5714285714285714,0.7782,11,0.745,0.37,0.592
architect,3.74,2.2857142857142856,2.2304,9,0.776,0.442,0.836
architecture,3.59,2.0,2.0792,12,0.82,0.39,0.694
archive,3.58,2.0,1.6721,7,0.438,0.294,0.527
area,3.72,1.7142857142857144,3.3345,4,0.49,0.306,0.464
arena,4.83,1.8571428571428572,2.0682,5,0.51,0.235,0.404
areola,4.78,2.0,0.7782,6,0.417,0.396,0.381
argument,2.85,1.7142857142857144,2.847,8,0.51,0.464,0.698
aristocracy,2.97,2.0,1.4472,11,0.688,0.549,0.842
aristocrat,3.76,2.2857142857142856,1.6232,10,0.583,0.413,0.811
